year,word,n
2010,chocolate,27
2010,cake,12
2010,cream,9
2010,fruit,9
2010,orange,8
2010,tart,8
2011,chocolate,28
2011,pie,14
2011,tarts,12
2011,cupcakes,11
2011,meringue,11
2011,raspberry,11
2012,cake,26
2012,chocolate,26
2012,bagels,16
2012,tarte,10
2012,tatin,10
2012,torte,10
2013,cake,31
2013,chocolate,19
2013,pie,15
2013,apple,14
2013,trifle,11
2014,chocolate,24
2014,lemon,15
2014,raspberry,12
2014,roll,12
2014,swiss,11
2015,cake,23
2015,chocolate,20
2015,madeira,12
2015,biscotti,11
2015,black,10
2015,tart,10
2016,chocolate,28
2016,cake,27
2016,drizzle,12
2016,orange,12
2016,biscuits,9
2016,churros,9
2017,cake,37
2017,caramel,13
2017,bread,11
2017,orange,9
2017,pie,9
2017,shortbreads,9
2017,teacakes,9
2018,cake,28
2018,chocolate,14
2018,ginger,11
2018,orange,11
2018,buns,10
2018,lemon,10
2018,tartlets,10
2019,cake,51
2019,chocolate,13
2019,bars,11
2019,pies,8
2019,biscuit,7
2019,bombe,7
2019,fruit,7
