year,powerType,dollarsPerMWh
2009,gas,57.64536670944586
2009,solar,167.6650529026188
2009,wind,74.32525239641825
2010,gas,56.83171363745291
2010,solar,139.8022443988669
2010,wind,65.5013372216574
2011,gas,46.000092893279344
2011,solar,110.85504435751714
2011,wind,47.77624605153814
2012,gas,44.48750291687616
2012,solar,84.09577559757795
2012,wind,40.11422633017146
2013,gas,43.17249334809343
2013,solar,68.881973681368
2013,wind,28.72294988216704
2014,gas,46.08091729932237
2014,solar,57.271352496484155
2014,wind,26.576140312277484
2015,gas,47.09131368036724
2015,solar,46.32037238991676
2015,wind,31.153087190463268
2016,gas,39.78608763420984
2016,solar,39.31147420900682
2016,wind,25.56001275702257
2017,gas,38.12266198965089
2017,solar,37.839644606223686
2017,wind,18.357162372438204
2018,gas,34.480123320798825
2018,solar,26.965947053481383
2018,wind,16.66544984008503
2019,gas,30.65534148807306
2019,solar,21.929684650519917
2019,wind,23.772756380038665
2020,gas,25.67761150846819
2020,solar,22.780461265430276
2020,wind,29.2793911999629
2021,gas,26.59357600435549
2021,solar,23.13142589219988
