season,word,n,total,percent
1,breath,54,3144,0.01717557251908397
1,chuckle,65,3144,0.020674300254452927
1,cry,12,3144,0.003816793893129771
1,gasp,47,3144,0.01494910941475827
1,groan,25,3144,0.007951653944020356
1,growl,55,3144,0.017493638676844784
1,grunt,55,3144,0.017493638676844784
1,music,38,3144,0.012086513994910942
1,pant,50,3144,0.015903307888040712
1,scream,28,3144,0.008905852417302799
1,sigh,154,3144,0.048982188295165395
1,stammer,61,3144,0.01940203562340967
2,breath,29,2638,0.010993176648976498
2,chuckle,76,2638,0.02880970432145565
2,cry,19,2638,0.007202426080363912
2,gasp,34,2638,0.01288855193328279
2,groan,25,2638,0.009476876421531463
2,growl,39,2638,0.014783927217589083
2,grunt,80,2638,0.030326004548900682
2,music,21,2638,0.00796057619408643
2,pant,40,2638,0.015163002274450341
2,scream,49,2638,0.018574677786201668
2,sigh,120,2638,0.045489006823351025
2,stammer,29,2638,0.010993176648976498
3,breath,21,5636,0.0037260468417317245
3,chuckle,85,5636,0.015081618168914124
3,cry,4,5636,7.097232079489e-4
3,gasp,83,5636,0.014726756564939674
3,groan,88,5636,0.015613910574875798
3,growl,15,5636,0.002661462029808375
3,grunt,181,5636,0.03211497515968772
3,music,99,5636,0.017565649396735272
3,pant,89,5636,0.015791341376863024
3,scream,98,5636,0.01738821859474805
3,sigh,75,5636,0.013307310149041874
3,stammer,5,5636,8.871540099361249e-4
4,breath,74,9609,0.007701113539390155
4,chuckle,123,9609,0.012800499531689042
4,cry,8,9609,8.32552815069206e-4
4,gasp,61,9609,0.006348215214902695
4,groan,39,9609,0.004058694973462379
4,growl,18,9609,0.0018732438339057135
4,grunt,201,9609,0.0209178894786138
4,music,754,9609,0.07846810282027267
4,pant,102,9609,0.010615048392132375
4,scream,96,9609,0.009990633780830472
4,sigh,77,9609,0.008013320845041107
